Names,Meanings,Sentences,Tags,Level,Collocations,Synonyms,Pronunciations,Name
"serene
serenity","のどかな、平穏な、穏やかな
平穏、落ち着き",He enjoys taking walks through the serene forest behind his house.,英検,4,,,,serene
"fraternal
fraternity
fraternize","友愛の
兄弟関係、友愛、兄弟愛、団体
親しく交わる",The community center aims to create an atmosphere of fraternity and inclusiveness among all local residents.,英検,4,,,,fraternal
"ignominy
ignominious","不名誉
不名誉な、恥ずべき",They suffered an ignominious defeat against a lower ranking them.,"優劣・是非, 英検",4,,,,ignominy
bizarre,風変わりの、奇妙な,Publishers worried that the bizarre story would only appeal to a limited audience.,英検,2,,,,bizarre
coffer,財源、資金、金庫,The aggressive tax system has filled the coffers of the government.,英検,4,,,,coffer
graffiti,落書き,The wall was sprayed with graffiti.,英検,4,,,,graffiti
"idiosyncrasy
idiosyncratic","独特の、特異の
特異性",The pianist has an idiosyncratic playing style.,英検,4,,,,idiosyncrasy
"polytheistic
polytheism","多神教の
多神教",People here believe in a polytheistic religion.,"宗教・哲学, 英検",4,,,,polytheistic
commonplace,ありふれた、ごく日常的な、ありふれたもの,It is now commonplace to see people using smartphones.,英検,3,,,,commonplace
unilateral,一方的な,She made a unilateral decision to shut down the company without consulting with any employees.,"位置・方向, 英検",4,,,,unilateral
"philanthropy
philanthropist
philanthroppic","慈善活動、博愛行為、慈善事業
慈善化
慈善（事業）の、博愛（主義）の",She was awarded for all of her hard work in philanthropy.,"人・職業, 社会・国家, 英検",4,,,,philanthropy
"reimburse
reimbursement","返済する、補償する
返済",I will reimburse you for the cost of gas if you take me to the airport.,"ビジネス・経済, 英検",4,,,,reimburse
full-fledged,一人前の、れっきとした,"After his training ends, he will be a full-fledged soldier.","性格・態度, 程度・確度, 英検",4,,,,full-fledged
psychic,精神の、精神的な、心霊（現象）の,Your physical condition will affect your psychic state.,"感情・思考, 英検",3,,,,psychic
qualm,良心の呵責、気のとがめ、不安、懸念,I felt some qualms about accepting the money.,"感情・思考, 英検",4,,,,qualm
squeak,金切り声を出す、チューチュー鳴く、キーキー、チューチュー,The ball squeaked when the dog bit into it.,"カタカナ・象徴語, 会話・伝達, 英検",4,,,,squeak
laureate,受賞者,Henry Dunant was the first ever laureate of the Nobel Peace Prize.,"人・職業, 英検",4,,,,laureate
infighting,内輪もめ,The discussion has made little progress because of the party’s infighting.,英検,4,,,,infighting
shroud,包む、覆い隠す,The reasons behind his disappearance are shrouded in mystery.,"動作, 英検",4,,,,shroud
scavenge,漁る,Seagulls can often be found scavenging for food near the beach.,"動作, 生物・動物, 英検",4,,,,scavenge
despicable,卑劣な、軽蔑に値する,Racial discrimination is absolutely despicable and should not be tolerated.,"優劣・是非, 英検",4,,,,despicable
eerie,不気味な、薄気味悪い,The forest feels eerie when you walk through it at night.,"優劣・是非, 英検",4,,,,eerie
far-fetched,ありえない、現実的でない,The once far-fetched idea of treatments to reverse aging may become a reality.,"程度・確度, 英検",4,,,,far-fetched
forte,得意（分野）、強み,Baking things like cakes and cookies is definitely not her forte.,"便利, 英検",4,,,,forte
quip,当意即妙に答える、気の利いたことを言う、当意即妙な言葉、皮肉,She quipped that she would rather go to the dentist than attend another boring meeting.,"会話・伝達, 英検",4,,,,quip
trespass,不法侵入する,It is illegal to trespass on private property in most cases.,"社会・国家, 英検",4,,,,trespass
beset,悩ます,"The team was beset with injuries this year, so their poor record is not surprising.","感情・思考, 英検",4,,,,beset
"impersonal
impersonality","人間味のない、事務的な
人間味のなさ","Some people do not want to work for large, impersonal corporations.","人・職業, 英検",4,,,,impersonal
hardscrabble,やせた、耕作に適さない,They had great difficulty farming the hardscrabble land.,"地理・気候, 英検",4,,,,
"sovereign
sovereignty","主権を有する、独立した、君主、主権者
主権、統治権","In 1804, Haiti gained independence from France and declared itself a sovereign nation.","人・職業, 社会・国家, 英検",4,,,,sovereign
predisposed,〜の傾向にある、なりやすい,These mice are greatly predisposed to cancer.,"程度・確度, 英検",4,,,,predisposed
"peril
perilous","危険
危険な",The journey across the ocean remains perilous to this day.,英検,4,,,,peril
wield,（権力や影響を）行使する,She wields the power to give everyone a raise.,"ビジネス・経済, 英検",4,,,,wield
parameter,限界、指針,We have to work within the parameters of the budget.,"カタカナ・象徴語, 便利, 数量・論理, 英検",4,,,,parameter
squarely,真っ向から、直接,We must face and deal with the issues squarely.,英検,4,,,,squarely
hallmark,特徴、特質,Attention to detail is the hallmark of a great web designer.,"便利, 英検",4,,,,hallmark
"empower
empowerment","権限（裁量）を与える
権限付与",The judge is empowered to sentence people to life in prison.,"ビジネス・経済, 英検",4,,,,empower
"execute
execution","実行する、処刑する
実行、処刑",We will need a minimum of three people to execute this plan effectively.,"社会・国家, 英検",3,,,,execute
"degrade
degradation","分解する、劣化させる、低下させる、降格させる
劣化",The constant exposure to sunlight degraded the color of the chairs.,"優劣・是非, 形・材質, 英検",3,,,,degrade
"cede
cession","譲渡する、割譲する
譲渡、割譲",The army had to cede land to their enemies.,"社会・国家, 英検",4,,,,cede
shot,勝ち目、可能性、試み、挑戦,His team has a good shot at winning the championship.,"便利, 程度・確度, 英検",3,,,,shot
stockpile,備蓄、備蓄する,It is important to have a stockpile of supplies for earthquakes.,英検,4,,,,stockpile
"doom
doomed","運命、運命づける
不運な、絶望的な、運の尽きた",Everyone thought she was doomed to failure when she started her own business.,"優劣・是非, 英検",4,,,,doom
"respire
respiration
respiratory","呼吸する
呼吸
呼吸（器）の",The device provides breathing support for patients with respiratory illnesses.,"医療・健康, 英検",4,,,,respire
perimeter,周囲（の長さ）、境界線、防御線,A security guard patrols the perimeter of the house constantly.,"数量・論理, 英検",4,,,,perimeter
pendulum,振り子、変化、動揺,"In the country, the pendulum is now swinging from internationalism to isolationism.","カタカナ・象徴語, 便利, 英検",4,,,,pendulum
janitor,管理人、用務員、清掃作業員,All of the children always say good morning to the janitor.,"人・職業, 英検",3,,,,janitor
"vocalize
vocalization","発声する
発声、発生された声（音）",Make sure to respond to vocalizations your baby makes.,"医療・健康, 英検",4,,,,vocalize
"legislate
legislative
legislation
legislature","法制化する
立法の
立法、法律
議会、立法府",The provincial legislature passed a new law regarding health services.,"社会・国家, 英検",4,,,,legislate
lousy,お粗末な、ひどい,The ratings for that restaurant are low because of the lousy service.,"優劣・是非, 英検",4,,,,lousy
discontent,不満、不平,There was widespread discontent among the staff about low wages.,"感情・思考, 英検",4,,,,discontent
"resurrect
resurrection","復活させる
復活、再起",Talks of peace collapsed and have yet to be resurrected.,英検,4,,,,resurrect
"propose
proposal
proposition","提案する、申し出る
提案（計画など）、申し出
提案（条件など）、申し出、事柄、主張","Although they made an attractive proposition, the other company rejected it.","会話・伝達, 英検",3,,,,propose
